,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
306,库克群岛与澳签署新伙伴关系协议 澳外长：这份协议前所未有,库克群岛总理布朗（Mark Brown）19日在与澳大利亚签署一份新伙伴关系协议后透露，他希望得到财政支持以应对气候变化。太平洋岛屿新闻协会网援引澳洲新闻网报道，澳大利亚外长黄英贤（Penny Wong）与库克群岛签署了Oa Tumanava伙伴关系协议，以此作为澳大利亚支持其邻国的承诺。黄英贤表示:“这种合作关系是非常重要的一步，我们以前从未达成过这种协议。”“Oa Tumanava”大致翻译为“和平时期和逆境时期的友谊”。在采访中，布朗被问及在达成伙伴协议的外交谈判中（澳大利亚）是否承诺向库克群岛提供任何资金。他表示，虽然没有承诺提供资金，但库克群岛希望澳大利亚帮助应对气候变化。布朗还建议澳大利亚可以通过其他方式帮助库克群岛发展，包括加强与教育和体育机构的联系。他说:“我们已经有一大批库克岛居民移居澳大利亚，其中一些人现在是澳大利亚公民，所以我们可以看到建立这些联系的重要性。”黄英贤则表示，（澳）政府致力于投资库克群岛的经济发展，并指出了像Penrhyn码头这样的区域基础设施项目。此外，澳大利亚最近在位于库克群岛的拉罗汤加岛派驻了一名高级专员，成为唯一一个在每个太平洋岛国论坛成员国都派驻外交人员的国家。据悉，黄英贤于18日抵达库克群岛，这是她太平洋岛屿之行的一部分，以展示澳大利亚阿尔巴尼斯政府对该地区的承诺。此次访问也是在她今年6月在堪培拉与布朗会面后，首次以外长身份访问库克群岛。（周晓编译）,,608,历史,库克群岛 澳大利亚 阿尔巴尼斯,库克 群岛 澳大利亚 协议 伙伴 ,联合国 太平洋岛屿新闻协会 拉罗汤加岛 太平洋岛国论坛成员国 阿尔巴尼斯政府,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227134&idx=3&sn=1a0f909cb28f927959da6507025cc87f&chksm=bef92248898eab5ed3195fb4cca8810ea29003e78cf309b545b2e6a0654d95b1b50f256d02e3#rd,1669410571
",2022.10.18
307,瓦国新政党联盟或为下届政府 还有首位女性赢得席位？,瓦努阿图的新政党联盟近日可能领导下一届政府。新西兰RNZ报道，19日，被排除在瓦努阿图新政府组建之外的各政党代表签署了另一项协议。五个最大的政党和相关的小党派之间已经签署了一项协议，加上独立议员，他们声称已经获得了新议会31名成员的支持，这意味着一个政党联盟已经形成，目的是产生一个联合政府，并可能成为下一届政府。瓦努阿图上周选举的非官方结果显示，一名女性候选人似乎赢得了一个席位，这是十多年来的第一次。据报道，温和党派联盟（Union of Moderate Parties）成员朱莉·金（Julie King）赢得了埃法特选区（Efate constituency）的一个席位。RNZ驻维拉港太平洋记者布勒（Hilaire Bule）说:“下一步是就哪个政党担任总理达成协议，如果属于这些政党的议员签署协议就没问题，但如果他们不同意，就会出现问题。”官方结果预计将在本周晚些时候公布。（周晓编译）,,400,历史,瓦努阿图 新西兰,政党 联盟 政府 协议 一个 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227134&idx=4&sn=27997429cb34e79805a59a28552a5c57&chksm=bef92248898eab5e2a1d972f364faf24da164a1c84920b5532df0f8d602238d43c6e1f34f2b8#rd,1669410571
",2022.10.18
311,援助是一纸空谈？太平洋长者之声不满美国-太平洋伙伴关系宣言,“太平洋长者之声”（PEV）对近期在美国白宫签署的《美国-太平洋伙伴关系宣言》作出了评价，表示对宣言内容并不满意。太平洋岛屿新闻协会网17日报道，太平洋长者之声在一份声明中指出，“虽然‘共同应对气候危机’在宣言中被列为优先事项，但太平洋长者之声认为，美国承诺的资金援助远远不够。在10年内向15个国家额外提供8.1亿美元的资金不足以应对该地区面临的气候危机。”另外，太平洋长者之声表示：“这一宣言似乎是对现有伙伴关系的重新定义，包括渔业、契约资助（已经在与三个太平洋岛国进行谈判），但对太平洋岛屿论坛的其他成员国来说并无新意。”声明中还指出，“在和平、安全、区域主义、复原力、经济增长、海洋、核等重要问题上有许多浅显的愿望声明，但在宣言中几乎没有作出具体行动的承诺。”除了气候变化，太平洋长者之声还提醒美国，其在马绍尔群岛进行核试验的遗留问题仍然是一个持续的争论点。此外，该组织强调，关于安全清除和处理该地区未爆炸药和二战残骸的拟议行动也尚未完成。（周晓编译）,,430,历史,美国 马绍尔群岛 三个太平洋岛国,太平洋 长者 宣言 美国 伙伴 ,太平洋长者之声（PEV）太平洋岛屿新闻协会美国-太平洋伙伴关系宣言太平洋岛屿论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227095&idx=2&sn=2b62d29f1e0ea2dbdc939ffc09aa340b&chksm=bef92261898eab77020df3c9cb26bf580f420ad99f48a05fd866cd3f400ccdc21181e543e798#rd,1669364458
",2022.10.16
313,巴新布干维尔自治政府：澳防长的言论是恐吓,布干维尔自治政府（ABG）主席近日指责澳大利亚副总理兼国防部长马勒斯（Richard Marles）在访问巴布亚新几内亚期间的言论是“含蓄的威胁”和“恐吓”。太平洋岛屿新闻协会网援引英国《卫报》报道，马勒斯13日在与巴布亚新几内亚总理马拉佩（James Marape）在莫尔兹比港举行的联合新闻发布会上被问及布干维尔自治政府的未来。马勒斯说:“作为20多年前关于布干维尔安排的见证人，我们的工作是支持巴布亚新几内亚。这就是我们要做的。”对此，布干维尔自治政府主席托罗阿马（Ishmael Toroama）对马勒斯的言论进行了回应，称此次为“（澳大利亚）首次明确表示……在布干维尔的独立问题上支持巴布亚新几内亚政府”。托罗阿马说：“自从布干维尔内战结束和2001年签署了布干维尔和平协议以来（澳大利亚是该协议的签署国之一），澳大利亚一直保持中立。”他表示，这些言论是一个“非常明确的迹象”，表明澳大利亚在执行协议条款时将不再保持公正。他继续指出，“在我看来，马勒斯的声明对政府和布干维尔民众发出了含蓄的威胁，因为他吹嘘两国之间的军事合作。我们一直在被动地接受澳大利亚政府的零星捐助和事与愿违的援助，但马勒斯先生的情绪现在表明了澳大利亚对布干维尔的真正意图。我们现在看到的只是历史重演，澳大利亚政府支持巴布亚新几内亚的政府，再次破坏布干维尔的自决权。”在巴布亚新几内亚，民众担心，如果布干维尔获得独立，该国其他省份也会希望获得独立。澳大利亚一直担心，距离所罗门群岛600公里的布干维尔的独立可能会成为该地区的安全隐患。（周晓编译）,,663,历史,澳大利亚 巴布亚新几内亚 所罗门群岛,布干维尔 政府 澳大利亚 马勒斯 巴布亚新几内亚 ,联合国 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227095&idx=4&sn=eb417e082aaf1e769dae54ef836d7168&chksm=bef92261898eab77d63b857d9586b59184aba32d2780e6a6b66f48f73f74626f345155068ccf#rd,1669364458
",2022.10.16
317,为何《公海条约》对太平洋地区至关重要？,作家蒂迈拉（Elenoa Dimaira）10日在Pasifika Environews网发表署名文章《公海条约》对太平洋地区至关重要，文章摘编如下：仍在谈判中的《国家管辖外海洋生物多样性（BBNJ）条约》或《公海条约》对太平洋岛屿至关重要，因为这将影响该地区的文化、粮食、生计和国民经济。关于BBNJ条约的谈判已经持续了18年，最近一次谈判于8月15日至26日举行，第五次政府间会议集中讨论了海洋遗传资源（MGRs）、利益分享、划区管理工具（ABMTs）、海洋保护区（MPAs）和其他交叉问题。太平洋岛国论坛秘书处秘书长普纳（Henry Puna）总结说，小岛屿和发展中国家显然对第五次政府间会议未能达成协议感到失望，该区域需要这项条约，因为该条约将“促进我们海洋的健康、生产力和复原力，根植于代际和代际间的公平”。作为全球20%的专属经济区的所有者，蓝太平洋地区长期以来一直在游说一项根据《联合国海洋法公约》制定的具有法律约束力的国际文书，以保护和可持续利用国家管辖范围以外地区的海洋生物多样性。然而，太平洋全球化网络（PANG）、第三世界网络、发展替代与新时代妇女（DAWN）等民间社会组织警告称，目前草案中的条约未能保证所有国家都将从协议中受益，特别是在使用任何海洋遗传资源（MGR）或数字序列信息方面。图瓦卢常驻联合国代表拉洛里尼乌（Samuelu Laloniu）说：“虽然我们理解国际危机组织（ICG）主席的理由和努力，但我们集团仍然对在这里就地收集的信息与该进程后续步骤之间的联系感到担忧。我们的理解是，这个想法是将收集视为一种海洋科学研究活动，这是在公海自由的制度下进行的。”这些观点得到了所罗门群岛民众和海洋科学家索皮（Katy Soapi）的支持，她是泰特帕雷岛（Tetepare）后裔协会的创始人和董事会成员，该协会致力于保护南半球最大的无人居住的岛屿。她说：“海洋影响着我们生活的方方面面。它是我们文化的中心，它还维持着我们的生计和我们接近未开发的海洋区域，包括这些在国家管辖范围内外的深海区域和高度多样化的海洋生态系统。我们对此感兴趣是因为深海中发生的任何事情都会影响我们。因此，我们对这一领域的兴趣在于我们想要保护我们的邻居。”（周晓编译）,,935,历史,图瓦卢 所罗门群岛,海洋 条约 太平洋 地区 公海 ,联合国海洋法公约 太平洋岛国论坛秘书处 太平洋全球化网络 第三世界网络 发展替代与新时代妇女 国际危机组织 所罗门群岛民众和海洋科学家索皮 泰特帕雷岛后裔协会。,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227095&idx=8&sn=f7910f7c4e754ccf643aa464b312edca&chksm=bef92261898eab77ccd0f19cd9bc6a810c688c68babc2de8b8453b374bbc5a7669568efd21a4#rd,1669364458
",2022.10.15
318,关岛申请成为太平洋岛国论坛成员,关岛总督格雷罗（Lou Leon Guerrero）近日宣布关岛将申请加入太平洋岛国论坛（PIF）。太平洋岛屿新闻协会网援引太平洋岛屿时报网报道，格雷罗本月3日表示，“太平洋岛国领导人视太平洋岛国论坛为其统一战线的行动，这是一个团结的论坛，将加强我们在太平洋地区与美国的声音。”格雷罗于9月28日至29日作为美国代表团的一员参加了在华盛顿特区举行的美国-太平洋岛国峰会。峰会上，她与十几位太平洋岛国的领导人进行交流。她说:“在第一次峰会上我就坐在国务卿的（座位）旁边，因为我们在整个美国国家安全领域的地位和重要性，也因为我们与联邦政府的良好关系。他们认为我们是岛国的重要影响者和影响者。”同时她指出，在18个PIF成员中，除了较小的岛屿国家外，还有澳大利亚和新西兰。而作为美国领土，关岛成为太平洋岛国论坛的正式成员将表明关岛与其他岛国处于同等地位。刚结束的峰会上，白宫发布的太平洋岛国伙伴关系战略为实现其目标概述了许多要点，其中包括美国和平队志愿人员今年重返斐济、汤加、萨摩亚和瓦努阿图。美国将探讨未来扩大该项目的可能性。格雷罗表示，“我当然支持（和平队的回归）。“所有的岛国领导人都对此表示欢迎。”格雷罗进一步指出，和平队首席执行官也参加了峰会。他们准备派出大约一千名和平队志愿者，重建队伍。（周晓编译）,,553,历史,美国  汤加 萨摩亚 瓦努阿图 澳大利亚 新西兰 关岛,太平洋 岛国 美国 关岛 论坛 ,太平洋岛国论坛（PIF） 美国-太平洋岛国峰会 美国和平队,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227092&idx=1&sn=b31bd2e05542721efa9b424fb64efbac&chksm=bef92262898eab74563db11f7c10eeeabeb3b944c7cb1fc099580f7be6ae5e479eacab9c5ac2#rd,1669364331
",2022.10.15
322,马绍尔群岛核遗产问题已提交联合国大会,联合国人权理事会7日通过了一项决议，旨在协助马绍尔群岛为此前在其领土上遭受美国核试验计划影响的民众伸张正义。太平洋岛屿新闻协会网援引日本共同社（KYODO NEWS）报道，马绍尔群岛共和国常驻日内瓦副代表兰维（Samuel Lanwi）在激动人心的演讲中对联合国大会表示:“我们遭受核遗产毒害的时间已经太久了，我们需要为民众找到一条通向更美好未来的道路。”上世纪40年代和50年代，美国在马绍尔群岛进行了数十次核武器试验，包括1954年在比基尼环礁（Bikini Atoll）进行的喝彩城堡（Castle Bravo）试验，这是美国有史以来引爆的最大炸弹。由5个太平洋岛国——马绍尔群岛、斐济、瑙鲁、萨摩亚和瓦努阿图——提交的决议得到了澳大利亚的支持，且内容中没有要求赔偿。该决议呼吁联合国人权事务负责人在2024年9月提交一份报告，说明马绍尔人民因核遗产而享受人权所面临的挑战。美国、英国、印度和巴基斯坦等其他拥有核武器的国家对决议文本的某些方面表示关切，但没有要求对该动议进行表决。日本（代表）没有在会议上发言。马绍尔民众仍在努力应对核试验给健康和环境带来的后果，包括出现较高的癌症发病率。许多因核试验而流离失所的人仍然无法返回家园。（周晓编译）,,525,历史,美国 英国 印度 巴基斯坦 日本 澳大利亚 马绍尔群岛,马绍尔 群岛 联合国 决议 美国 ,联合国人权理事会联合国大会亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227037&idx=3&sn=581b11a431cb40fa423bfb5b03e85b21&chksm=bef9222b898eab3d6e3644503c2412860174b4c5f0de804e0df9b51f321157fe23cd1afcffb7#rd,1668853499
",2022.10.12
327,印尼巴布亚人权问题改善？专家却不看好,近日，有分析人士指出，太平洋岛国已经缓和了他们对印度尼西亚在其动荡的巴布亚地区统治的抗议，这表明印尼为压制一些最强烈的批评者所做的努力已取得成效。太平洋岛屿新闻协会10日援引法国新闻社（AFP）报道，2016年，至少六个太平洋岛国利用联合国大会呼吁民众关注印尼最东部省份美拉尼西亚人遭受的人权侵犯和他们所描述的系统性歧视，部分国家呼吁进行自决。几年来，太平洋岛国的批评声从未间断，特别是瓦努阿图，这个以美拉尼西亚人为主的国家广泛支持巴布亚人从印尼独立。但今年只有马绍尔群岛提到了印尼的巴布亚省份，并简要提到了一个太平洋地区组织长期以来呼吁印尼接纳联合国人权代表团的呼吁。今年7月，太平洋岛国论坛发布了一份太平洋发展总体规划，该规划将印尼一半的的新几内亚领土划掉。这是对论坛成员国的准确描述，但激怒了一些巴布亚活动人士。活动人士罗尼·卡列尼（Ronny Kareni）在社交平台“推特”（Twitter）上说，这张地图是对整个新几内亚岛内巴布亚人的“制度性歧视”。多年来，印尼通过人道主义援助，试图拉近关系，加强与太平洋国家的外交关系。印尼国有企业PT Wijaya Karya今年斥资750万美元在所罗门群岛首都建设完成了五人制足球场和其他体育项目的综合项目，这是所罗门群岛举办2023年太平洋运动会的关键部分。据印度尼西亚大学（University of Indonesia）国际关系讲师乔鲁扎德（Shofwan Al Banna Choiruzzad）介绍，印尼外交部今年成立了一个太平洋事务局。但他说，目前的做法所能达到的效果是有限的。他指出，“只有当印尼能够让印尼人民和国际社会相信，印尼将致力于以公平和文明的方式解决巴布亚问题，强有力的外交才能实现。”（周晓编译）,,737,历史,印尼 瓦努阿图 马绍尔群岛 所罗门群岛,印尼 太平洋 岛国 巴布亚 呼吁 ,联合国 太平洋岛国论坛 太平洋发展总体规划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227031&idx=5&sn=a443dd81877c88f20a28bcf5e9a0ee05&chksm=bef92221898eab37ba71f6f215de8bbeac30ed3125cef6e21c5b39166808e4e21a712aabce92#rd,1668764341
",2022.10.8
328,当拉尼娜现象卷土重来，瓦努阿图会发生什么？,瓦努阿图《瓦国日报》10月1日刊登文章，探讨了拉尼娜现象（La Ni?a）重现对瓦努阿图的影响。文章摘编如下：瓦努阿图气象和地质灾害部门（VMGD）宣布，厄尔尼诺—南方涛动（ENSO）已进入拉尼娜阶段。这是ENSO气候周期连续第三年处于拉尼娜阶段，使其成为“三次衰退”事件。对于瓦努阿图，拉尼娜意味着高于正常量的降雨。这种更高的降雨量反过来会引发山洪暴发、河流和海岸洪水以及山体滑坡。今年10月至12月期间出现极端降雨的可能性很高（或70%-100%的可能性）。气象和地质灾害部门使用的气候模型显示，拉尼娜可能在10月和11月达到峰值，ENSO气候周期将在2023年初回到中性状态。除了比正常降雨量多之外，瓦努阿图周围的海平面在拉尼娜期间也会升高，因为更强的信风将推高西太平洋赤道地区的海水。拉尼娜已经到来的传统标志是什么?VanKIRAP（VMGD发起的让民众更方便、更准确地获取气候信息的项目）传统知识协调员威利（Albert Willy）说，社区已经观察了数千年，牲畜行为和植被的变化是拉尼娜的两个标志。当拉尼娜即将到来时，猪、牛和马等家畜往往会变得更加活跃，此外，由于降雨量增加，植被变得更绿、更茂盛等更为明显的现象也会随之增加。社区应该每天收听气象和地质灾害部的天气预报，还应该仔细监测在任何降雨事件期间附近小溪和河流水位上升的高度和速度。这种细心的观察和对本地的了解可以挽救生命。VanKIRAP农业部门协调员里欧（Pakoa Leo）说，社区需要为极端降雨事件做好准备，以保护作物和粮食供应。他建议农民在种植菜园时遵循以下五个步骤：（1）在大雨来临之前收割成熟的根茎作物（木薯、kumala红薯），这样它们就不会在浸水的土地上腐烂；（2）不要在山坡上种植庄稼，因为可能会被山崩冲走；（3）不要在低洼地区种植作物，以免被洪水冲走；（4）不要在大雨时种植蔬菜幼苗。移植秧苗须在雨少或阳光明媚的日子进行（只在下午晚些时候进行）；（5）定期检查作物是否有虫害和疾病，如果环境潮湿，应用管理技术来阻止它们蔓延。此外，拉尼娜也会对渔业、基建和供水造成影响。如果所在社区的供水被洪水污染，请立即联系国家应急管理部门，以便他们组织紧急供水。（萨琳编译）,,925,历史,瓦努阿图 厄尔尼诺 西太平洋赤道地区,拉尼娜 瓦努阿图 部门 气候 降雨 ,VanKIRAP，ENSO，VMGD，国家应急管理部门,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649227031&idx=7&sn=44e4eefe67673ed178fd3cb20ec41ec3&chksm=bef92221898eab37a2b4075581ca75bb41d91e682126bb8324eeb461c9153b5c5f88163fd489#rd,1668764341
",2022.10.8
331,美国承认库克群岛为主权国家,美国总统拜登（Joe Biden）9月30日在与包括库克群岛总理布朗（Mark Brown）在内的太平洋岛国领导人峰会上宣布，美国承认库克群岛为一个主权国家。太平洋岛屿新闻协会网援引库克群岛政府网站报道，拜登总统说:“我自豪地宣布，经过适当的协商，我们将承认库克群岛和纽埃群岛为主权国家。”库克群岛外交和移民部（MFAI）将这一声明视为美国和库克群岛关系的里程碑。太平洋岛屿论坛秘书长兼特使赫尔曼（Tepaeru Herrmann）表示：“几个月来，我们一直在拉罗汤加岛、惠灵顿和苏瓦等地与多个美国部门就外交关系进行密切接触，因此，虽然宣布承认主权的声明是最终目的，但今天的声明不仅应得到欢迎，也预示着美国和库克群岛关系步入一个新时代，库克群岛今后将开展国际交往的平台。”赫尔曼继续指出，“该声明提供了更多可能，库克群岛可以与美国合作以支持我们的发展愿望。”《美国-太平洋伙伴关系》中详述的新举措为库克群岛的企业和民间社会实体提供了合作机会，这些企业和民间社会实体与库克群岛的国家优先事项相一致，包括可再生能源转换、气候智能型基础设施和可持续海洋发展等领域。除了发布《美国—太平洋伙伴关系》之外，美国当日还发布了《美国太平洋伙伴关系战略》（PPS）。赫尔曼强调：“虽然（美国）没有就有关PPS的问题征求过库克群岛的意见，但我们对其中的一些内容表示欢迎，特别是与海洋保护、海洋安全、主权、创造经济机会和建立联系有关的内容。但我们需要仔细研究PPS中的整体内容，以确定哪些内容最适合库克群岛，以及我们在未来几个月与美国的合作重点在哪里。”（周晓编译）,,673,历史,美国 库克群岛 纽埃群岛 拉罗汤加岛 惠灵顿 苏瓦,库克 群岛 美国 太平洋 关系 ,联合国 太平洋岛屿论坛 美国-太平洋伙伴关系 美国太平洋伙伴关系战略,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=1&sn=655b01db13a741b50bf043052ae2fb6c&chksm=bef923ee898eaaf8531d2013cd1f970e4f7bd0cd4671222f0ff56231e8215837f73ef2b114eb#rd,1668292728
",2022.10.8
332,华盛顿峰会落幕 美国—太平洋协议重提关键问题,近日，在华盛顿与太平洋岛国领导人举行首次峰会之际，美国和太平洋地区领导人达成了一项关于美国—太平洋伙伴关系的9点宣言。太平洋岛屿新闻协会网10月3日援引澳大利亚ABC网站报道，美国总统拜登（Joe Biden）任命前驻斐济大使里德（Frankie Reed）为美国有史以来第一位驻太平洋岛屿区域论坛的特使。美国国际开发署将在2023年9月前重新在斐济首都苏瓦设立办事处。同时，根据美国—太平洋伙伴关系协议中列出的新举措，美国将投资2000万美元以促进所罗门群岛的旅游业，并缓解该国的贫困程度。根据新协议，美国将与太平洋岛国开展新的贸易和投资对话，加强海上安全，并在5年内提供350万美元，以改善该地区的互联网连接并支持网络安全。美国—太平洋联合声明中没有具体提到核遗留问题。据了解，马绍尔群岛、帕劳和密克罗尼西亚是所谓的自由联系国（FAS），曾与美国签署条约。目前马绍尔群岛和密克罗尼西亚的协议将于2023年9月到期，而帕劳的协议则将于其一年后到期。根据即将到期的《自由联合条约》，这三个太平洋岛国从美国政府获得了无偿援助和安全保障。FAS公民无需签证就可以在美国生活和工作。作为交换，美国有权在这三个岛国建立军事基地，并可以拒绝外人进入这些国家的水域、领空和陆地。美国希望在今年年底前完成所有三个协议的谈判。（周晓编译）,,561,历史,美国 澳大利亚  马绍尔群岛 帕劳 密克罗尼西亚,美国 太平洋 协议 岛国 根据 ,美国—太平洋伙伴关系协议 自由联系国（FAS） 美国国际开发署 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=2&sn=f41234bbe99424b385366cb8a5755767&chksm=bef923ee898eaaf8349551bc6a2cb18d5bf2f158828c06ea821ab6c2fa256e0c77c8a0612e59#rd,1668292728
",2022.10.8
333,巴新布干维尔自治政府独立进程又受阻,巴布亚新几内亚布干维尔自治政府（ABG）近日争取独立的努力遇到了宪法障碍，高级法律顾问告诉政府，没有任何事物可以篡夺宪法的权力和权威。澳大利亚《信使邮报》3日报道，总理和国家选举委员会首席秘书庞马洛（Ivan Pomaleu）上周在澳大利亚国立大学发表巴布亚新几内亚关于ABG公投进程的立场文件时表示，“这将会让ABG和布干维尔的民众失望，但政府需要保护和遵守国家宪法。”庞马洛说:“虽然布干维尔人一直试图在不经过国民议会正式投票的情况下得到政府同意并批准独立，他们借鉴了国家自身获得独立的经验，但我们最资深律师的法律建议是，这是不允许的，因为这样做完全是违宪的。庞马洛补充说，“议会做出决定的方式由宪法第114条规定。也就是说，议会的任何决定都应由出席并参加表决的议员的过半数投票决定。这一点并没有遭到否认。政府承认并接受了这一点。但是正如总理所说，如此重大的决定必须得到全体人民的批准和支持。”他指出，“这也是美拉尼西亚人处理问题的方式。达成共识很重要，就问题进行讨论和理解影响的必要性也很重要。最后，总理认为，无论国民议会投票的结果如何，都需要进行更大的协调努力，以实现《布干维尔和平协定》的条款和任何商定的最终政治解决方案。（周晓编译）,,522,历史,巴布亚新几内亚 澳大利亚 美拉尼西亚,政府 独立 宪法 议会 决定 ,联合国 布干维尔和平协定 澳大利亚国立大学 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=3&sn=b3a577a08cdd119ef6cbeeb04b7eec28&chksm=bef923ee898eaaf890ddfba2a5c86b2e7f0a854610ee98d40b459ce0e4c6f9f0af5a9b76e568#rd,1668292728
",2022.10.8
334,所罗门群岛外长：需要更长时间来脱离最不发达国家地位,所罗门群岛外长马内莱（Jeremiah Manele）3日表示，在遭受经济挫折后，所罗门群岛可能无法达成在2024年前脱离最不发达国家的目标。太平洋岛屿新闻协会网援引新西兰RNZ网报道，由于人均收入低至1000美元，以及婴儿死亡率高和经济长期薄弱等问题，联合国将40多个国家列为最不发达国家。马内莱在位于惠灵顿的新西兰国际事务研究所发表演讲时表示:“我们的经济增长与国家的发展需求不相符。虽然我们预计将在2024年摆脱最不发达国家的地位，但评估报告表明，我们可能需要更多时间回到正轨，才能完全脱离最不发达国家的地位。”据了解，在太平洋地区，图瓦卢和基里巴斯也被列为最不发达国家之一，而瓦努阿图和萨摩耶分别于2020年和2012年脱离最不发达国家的行列。世界银行表示，2021年所罗门群岛的人均国内生产总值约为2300美元。但这个约70万人口的群岛最近却受到了新冠肺炎疫情、俄乌冲突以及去年首都霍尼亚拉骚乱的影响，给经济带来冲击。所罗门群岛总理索加瓦雷（Manasseh Sogavare）上周在华盛顿峰会上签署了美国和太平洋岛国之间的伙伴关系宣言。据报道，他最初反对该协议。马内莱3日重申了所罗门群岛政府的主张，即不会在大国竞争中偏袒任何一方，并将与任何“给我们公平机会”并帮助其经济发展的国家合作。他还表示，希望新西兰能为所罗门群岛居民提供更多季节性工作签证，以帮助该国应对经济问题。（周晓编译）,,599,历史,所罗门群岛 新西兰 美国 图瓦卢 基里巴斯 瓦努阿图 萨摩耶,国家 群岛 所罗门 发达 经济 ,联合国 世界银行 亚太计划,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=4&sn=7ee50b6de9a0070eb78347431066bbe0&chksm=bef923ee898eaaf893ed05a2ddc301d768b395a12d543171cd105ef2cd12044a40ddd6f58c5b#rd,1668292728
",2022.10.7
335,瑙鲁结束选举 新任总统及内阁成员公布,新任瑙鲁总统库恩（Russ Kun）于9月29日宣誓就职，议会19名议员中有13人是他的政府官员。太平洋岛屿新闻协会网援引新西兰RNZ网站报道，库恩是瑙鲁新当选的总统，在28日举行的第24届议会就职会议上无异议当选。斯蒂芬（Marcus Stephen）再次当选议会议长，前总统安吉米亚（Lionel Aingimea）当选为副议长。库恩仍保留了许多重要职位尚未任命，包括处理事务、外交事务、警察和司法等（部门的官员）。亨特（Stephen Hunt）负责财政事务，多维约（Wanani Dowiyogo）负责渔业事务，伊卡（Timothy John Ika）将负责卫生领域。加达布（Rennier Gadabu）负责环境管理、气候变化和国家复原力事务，门克（Richard Hyde Menk）负责教育和体育事务，德耶（Pyon Deiye）负责媒体和通信事务。此外，还有7个副部长职位空缺。库恩说，他在任期间将向所有瑙鲁人伸出援手，帮助国家向前发展。他强调，瑙鲁将努力与澳大利亚、新西兰、英国、欧盟、印度、美国等发展伙伴进行更密切的合作。（周晓编译）,,477,历史,新西兰 澳大利亚 英国 欧盟 印度 美国 瑙鲁,事务 负责 瑙鲁 总统 库恩 ,澳大利亚 新西兰 英国 欧盟 印度 美国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226968&idx=5&sn=7d2c2ee8b898de172e117e2e326a23f6&chksm=bef923ee898eaaf8e9fe917bfe439e3a51aa1b95071acfbdb5f44ee9dfe13f0563f02e272274#rd,1668292728
",2022.10.7
